Analysis for Gold

ACCURACY REPORT:
Overall accuracy:                        0.04017857
Accuracy within 1 phone:                 0.16145833
Accuracy within 2 phones:                0.33556548
Average edit distance from gold:         0.60759618
Average feature edit distance from gold: 0.67354911

Performance associated with each phone in Gold
Phone in Gold	Associated final miss likelihood	Mean Associated Normalized Lev.Dist.	Mean Associated Feat Edit Dist
b	|	0.975609756097561	|	3.7478991596638656	|	0.7341628959276015
l	|	0.9601593625498008	|	3.147410358565737	|	0.6985902543671466
ˈe	|	0.967741935483871	|	3.453763440860215	|	0.8088916459884202
d̪	|	1.0	|	3.9152542372881354	|	0.7300358539765317
o	|	0.9811320754716981	|	3.243362831858407	|	0.7073122305423197
ˈɑ	|	0.9477806788511749	|	3.14621409921671	|	0.6034846354689697
n̪	|	0.95	|	3.2798833819241984	|	0.7308813635344247
ɑ	|	0.9614740368509213	|	3.4550669216061185	|	0.6486615678776287
θ	|	0.9856459330143541	|	4.11219512195122	|	0.9200750469043152
ɾ	|	0.9897260273972602	|	3.9322033898305087	|	0.704476314645806
ɡ	|	1.0	|	3.8466666666666667	|	0.6429487179487182
w	|	1.0	|	3.6766917293233083	|	0.9757085020242917
ʝ	|	1.0	|	3.3548387096774195	|	0.6650124069478909
j	|	1.0	|	4.027624309392265	|	0.8464725881852951
ˈo	|	0.9597701149425287	|	2.8160919540229883	|	0.5554818744473919
k	|	0.9596774193548387	|	3.0081632653061225	|	0.5900313971742547
s	|	0.974025974025974	|	3.32	|	0.7181410256410253
t̪	|	0.9516728624535316	|	3.011627906976744	|	0.6604800238521168
ɲ	|	0.8103448275862069	|	2.293103448275862	|	0.3690318302387268
x	|	0.9626168224299065	|	3.3551401869158877	|	0.7474838245866287
e	|	0.9640718562874252	|	3.6149068322981366	|	0.7532250358337319
f	|	1.0	|	3.522727272727273	|	0.846590909090909
ˈi	|	0.967741935483871	|	3.3225806451612905	|	0.6431968569065338
r	|	0.9552238805970149	|	2.746268656716418	|	0.6150975889781863
u	|	1.0	|	3.78	|	0.6984615384615386
m	|	0.9315068493150684	|	2.9158878504672896	|	0.6383896477354419
ˈu	|	0.9240506329113924	|	2.569620253164557	|	0.5474683544303796
i	|	1.0	|	4.808219178082192	|	0.9652265542676502
t͡ʃ	|	1.0	|	2.8392857142857144	|	0.7441620879120877
p	|	0.9352941176470588	|	3.2215568862275448	|	0.734339014279134
ˌe	|	1.0	|	4.0	|	1.0
v	|	1.0	|	6.0	|	0.8846153846153846
n	|	1.0	|	4.0	|	0.7692307692307693
ˌɑ	|	1.0	|	5.0	|	1.3461538461538463
t	|	1.0	|	5.0	|	0.25
