etID  | Input | Popular Latin | Old Spanish | Middle Spanish | Output {GOLD}
40     | #d̪ˌeˈin̪d̪e# | *#d̪ˌeˈin̪d̪e# | *#d̪ˈen̪d̪e# | *#d̪ˈen̪d̪e# | *#d̪ˈen̪d̪e# {GOLD: #d̪ˈen̪d̪e#}
41     | #d̪ˌeˈin̪t̪ro# | *#d̪ˌeˈin̪t̪ro# | *#d̪ˈen̪t̪ɾo# | *#d̪ˈen̪t̪ɾo# | *#d̪ˈen̪t̪ɾo# {GOLD: #d̪ˈen̪t̪ɾo#}
42     | #d̪ˈekem# | *#d̪ˈekem# | *#d̪jˈed͡ze# | *#d̪jˈes̪# | *#d̪jˈeθ# {GOLD: #d̪jˈeθ#}
43     | #d̪ˌekˈembrem# | *#d̪ˌekˈembrem# | *#d̪ˌed͡zjˈembɾe# | *#d̪ˌis̪jˈembɾe# | *#d̪iθjˈembɾe# {GOLD: #d̪iθjˈembɾe#}
44     | #d̪ˈekst̪rum# | *#d̪ˈekst̪rum# | *#d̪jˈes̪t̪ɾo# | *#d̪jˈest̪ɾo# | *#d̪jˈest̪ɾo# {GOLD: #d̪jˈest̪ɾo#}
45     | #d̪ˈekst̪rɑm# | *#d̪ˈekst̪rɑm# | *#d̪jˈes̪t̪ɾɑ# | *#d̪jˈest̪ɾɑ# | *#d̪jˈest̪ɾɑ# {GOLD: #d̪jˈest̪ɾɑ#}
46     | #d̪ˈen̪t̪em# | *#d̪ˈen̪t̪em# | *#d̪jˈen̪t̪e# | *#d̪jˈen̪t̪e# | *#d̪jˈen̪t̪e# {GOLD: #d̪jˈen̪t̪e#}
47     | #d̪ˈeus# | *#d̪ˈeus# | *#d̪ˈijos# | *#d̪ˈiʝos# | *#d̪ˈiʝos# {GOLD: #d̪jˈos#}
48     | #d̪ˈeːbit̪ɑ# | *#d̪ˈeːbit̪ɑ# | *#d̪ˈebed̪ɑ# | *#d̪ˈewd̪ɑ# | *#d̪ˈewd̪ɑ# {GOLD: #d̪ˈewd̪ɑ#}
49     | #d̪ˈiːk# | *#d̪ˈiːk# | *#d̪ˈi# | *#d̪ˈi# | *#d̪ˈi# {GOLD: #d̪ˈi#}
50     | #d̪ˈiːkit̪# | *#d̪ˈiːkit̪# | *#d̪ˈid͡ze# | *#d̪ˈis̪# | *#d̪ˈiθ# {GOLD: #d̪ˈiθe#}
51     | #d̪ˈikt̪um# | *#d̪ˈikt̪um# | *#d̪ˈejt̪o# | *#d̪ˈet͡ʃo# | *#d̪ˈet͡ʃo# {GOLD: #d̪ˈit͡ʃo#}
52     | #d̪ˈiɡit̪um# | *#d̪ˈiɡit̪um# | *#d̪ˈed̪o# | *#d̪ˈed̪o# | *#d̪ˈed̪o# {GOLD: #d̪ˈed̪o#}
53     | #d̪ˈokt̪um# | *#d̪ˈokt̪um# | *#d̪ˈojt̪o# | *#d̪ˈot͡ʃo# | *#d̪ˈot͡ʃo# {GOLD: #d̪ˈut͡ʃo#}
54     | #d̪ˈolum# | *#d̪ˈolum# | *#d̪wˈelo# | *#d̪wˈelo# | *#d̪wˈelo# {GOLD: #d̪wˈelo#}
55     | #d̪ˈomn̪um# | *#d̪ˈon̪n̪um# | *#d̪wˈen̪n̪o# | *#d̪wˈeɲo# | *#d̪wˈeɲo# {GOLD: #d̪wˈeɲo#}
56     | #d̪ˌonum# | *#d̪ˌonum# | *#d̪ˌono# | *#d̪ˌono# | *#d̪ono# {GOLD: #d̪on̪#}
57     | #d̪ˈomn̪ɑm# | *#d̪ˈon̪n̪ɑm# | *#d̪wˈen̪n̪ɑ# | *#d̪wˈeɲɑ# | *#d̪wˈeɲɑ# {GOLD: #d̪wˈeɲɑ#}
58     | #d̪ˌomn̪ɑm# | *#d̪ˌon̪n̪ɑm# | *#d̪ˌon̪n̪ɑ# | *#d̪ˌoɲɑ# | *#d̪oɲɑ# {GOLD: #d̪oɲɑ#}
59     | #d̪ˈoːrium# | *#d̪ˈoːrium# | *#d̪ˈojɾo# | *#d̪wˈeɾo# | *#d̪wˈeɾo# {GOLD: #d̪wˈeɾo#}
60     | #d̪ˈulkem# | *#d̪ˈulkem# | *#d̪ˈolt͡se# | *#d̪ˈols̪e# | *#d̪ˈolθe# {GOLD: #d̪ˈulθe#}
61     | #d̪ˈuoːs# | *#d̪ˈuoːs# | *#d̪ˈos# | *#d̪ˈos# | *#d̪ˈos# {GOLD: #d̪ˈos#}
62     | #d̪ˈuplem# | *#d̪ˈuplem# | *#d̪ˈobʎe# | *#d̪ˈoble# | *#d̪ˈoble# {GOLD: #d̪ˈoble#}
63     | #d̪ˌuplˈɑːre# | *#d̪ˌuplˈɑːre# | *#d̪ˌobʎˈɑɾe# | *#d̪ˌoblˈɑɾ# | *#d̪oblˈɑɾ# {GOLD: #d̪oblˈɑɾ#}
64     | #d̪ˈuplum# | *#d̪ˈuplum# | *#d̪ˈoblo# | *#d̪ˈoblo# | *#d̪ˈoblo# {GOLD: #d̪ˈoblo#}
65     | #d̪ˈuːbit̪ɑ# | *#d̪ˈuːbit̪ɑ# | *#d̪ˈubed̪ɑ# | *#d̪ˈud̪ɑ# | *#d̪ˈud̪ɑ# {GOLD: #d̪ˈud̪ɑ#}
66     | #d̪ˈuːrum# | *#d̪ˈuːrum# | *#d̪ˈuɾo# | *#d̪ˈuɾo# | *#d̪ˈuɾo# {GOLD: #d̪ˈuɾo#}
67     | #d̪ˌefˈeːn̪sɑ# | *#d̪ˌefˈeːn̪sɑ# | *#d̪ˌevˈezɑ# | *#d̪ˌebˈesɑ# | *#d̪ebˈesɑ# {GOLD: #d̪eˈesɑ#}
68     | #d̪ˌekimˈɑːre# | *#d̪ˌekimˈɑːre# | *#d̪ˌed͡zemˈɑɾe# | *#d̪ˌes̪mˈɑɾ# | *#d̪eθmˈɑɾ# {GOLD: #d̪eθmˈɑɾ#}
69     | #d̪ˌelikˈɑːt̪um# | *#d̪ˌelikˈɑːt̪um# | *#d̪ˌeleɡˈɑd̪o# | *#d̪ˌelɡˈɑd̪o# | *#d̪elɡˈɑd̪o# {GOLD: #d̪elɡˈɑd̪o#}
70     | #d̪ˌelˈikt̪um# | *#d̪ˌelˈikt̪um# | *#d̪ˌelˈejt̪o# | *#d̪ˌelˈet͡ʃo# | *#d̪elˈet͡ʃo# {GOLD: #d̪elˈit̪o#}
71     | #d̪ˌeːbit̪ˈoːre# | *#d̪ˌeːbit̪ˈoːre# | *#d̪ˌebed̪ˈoɾe# | *#d̪ˌewd̪ˈoɾ# | *#d̪ewd̪ˈoɾ# {GOLD: #d̪ewd̪ˈoɾ#}
72     | #d̪ˌeːlikˈɑːt̪um# | *#d̪ˌeːlikˈɑːt̪um# | *#d̪ˌeleɡˈɑd̪o# | *#d̪ˌelɡˈɑd̪o# | *#d̪elɡˈɑd̪o# {GOLD: #d̪elɡˈɑd̪o#}
73     | #d̪ˌeːn̪ˈɑːrium# | *#d̪ˌeːn̪ˈɑːrium# | *#d̪ˌen̪ˈɑjɾo# | *#d̪ˌen̪ˈeɾo# | *#d̪en̪ˈeɾo# {GOLD: #d̪in̪ˈeɾo#}
74     | #d̪ˌeːsid̪erˈɑːre# | *#d̪ˌeːsid̪erˈɑːre# | *#d̪ˌezed̪ɾˈɑɾe# | *#d̪ˌesd̪ɾˈɑɾ# | *#d̪esd̪ɾˈɑɾ# {GOLD: #d̪eseˈɑɾ#}
75     | #d̪ˌeːspˈekt̪um# | *#d̪ˌeːspˈekt̪um# | *#d̪ˌespˈejt̪o# | *#d̪ˌespˈet͡ʃo# | *#d̪espˈet͡ʃo# {GOLD: #d̪espˈet͡ʃo#}
76     | #d̪ˌeːspˌoliˈɑːre# | *#d̪ˌeːspˌoliˈɑːre# | *#d̪ˌespˌuʎˈɑɾe# | *#d̪ˌespˌuʃˈɑɾ# | *#d̪espuxˈɑɾ# {GOLD: #d̪espoxˈɑɾ#}
77     | #d̪ˌeːsˌɑn̪ɡwin̪ˈɑːre# | *#d̪ˌeːsˌɑn̪ɡwin̪ˈɑːre# | *#d̪ˌezˌɑn̪ɡen̪ˈɑɾe# | *#d̪ˌesˌɑn̪ɡn̪ˈɑɾ# | *#d̪esɑn̪ɡn̪ˈɑɾ# {GOLD: #d̪esɑn̪ɡɾˈɑɾ#}
78     | #d̪ˌeːsˈed̪ium# | *#d̪ˌeːsˈed̪ium# | *#d̪ˌizˈeo# | *#d̪ˌisˈeo# | *#d̪isˈeo# {GOLD: #d̪esˈeo#}
79     | #d̪ˌeːsˈert̪um# | *#d̪ˌeːsˈert̪um# | *#d̪ˌezjˈeɾt̪o# | *#d̪ˌisjˈeɾt̪o# | *#d̪isjˈeɾt̪o# {GOLD: #d̪esjˈeɾt̪o#}
