Latin_orthography,Latin_IPA,freqTFTL,Spanish_IPA,,
lacte,lakte,1587,léʧe,,
lībertātem,liːbertaːtem,4267,libeɾtád,,
librum,librum,3321,líbɾo,,
lītem,liːtem,808,líd,,
lupum,lupum,417,lóbo,,
lūmine,luːmine,10120,lúmbɾe,,
lūnam,luːnam,1649,lúna,,
lūcem,luːkem,6406,lúθ,,
locum,lokum,21706,lwégo,,
flammam,flammam,792,ʎáma,,
plēnum,pleːnum,,ʎéno,,
pluuia,pluwia,,ʎúbja,,
mātrem,maːtrem,5367,mádɾe,,
magistrum,maɡistrum,2000,maéstɾo,,
malum,malum,22488,málo,,
manum,manum,7844,máno,,
mancipium,mankipium,347,manθébo,,
mare,mare,9423,máɾ,,
marītum,mariːtum,917,maɾído,,
marmor,marmor,113,máɾmol,,
mārtium,maːrtium,,máɾθo,,
māiestātem,maːjestaːtem,1389,maxestád,,
medium,medium,10307,médjo,,
memoriam,memoriam,5037,memóɾja,,
mentem,mentem,7299,ménte,,
mēnsem,meːnsem,585,més,,
mēnsam,meːnsam,1732,mésa,,
metum,metum,1378,mjédo,,
mel,mel,1791,mjél,,
membrum,membrum,1644,mjémbɾo,,
modum,modum,20983,módo,,
mundum,mundum,12253,móndo,,
montem,montem,4558,mónte,,
mūrum,muːrum,1362,múɾo,,
multum,multum,12126,múʧo,,
mulierem,mulierem,3633,muxéɾ,,
mulierem,mulierem,,muxéɾ,,
mortem,mortem,20908,mwéɾte,,
nāuem,naːwem,1293,nábe,,
nātam,naːtam,346,náda,,
negōtium,neɡoːtium,2353,negóθjo,,
nigrum,nigrum,,négɾo,,
necessitātem,nekessitaːtem,3842,neθesidád,,
niuem,niwem,348,njébe,*,
nouitātem,nowitaːtem,591,nobedád,,
nōmen,noːmen,34074,nómbɾe,*,
nōminem,noːminem,,nómbɾe,,
noctem,noktem,2984,nóʧe,,
nūbem,nuːbem,780,núbe,,
numerum,numerum,6762,númeɾo,,
nouum,nowum,,nwébo,,
operam,operam,2715,óbɾa,,
officium,offikium,7206,ofíθjo,,
hodiē,hodieː,,ój,,
occāsiōnem,okkaːsioːnem,2418,okasjón,,
occāsum,okkaːsum,1294,okáso,,
hominem,hominem,29909,ómbɾe,,
honestum,honestum,1466,onésto,,
honōrem,honoːrem,7018,onóɾ,,
hōram,hoːram,2571,óɾa,,
ordinem,ordinem,11685,óɾden,,
auricula,aurikula,,oɾéxa,,
orīginem,oriːɡinem,2483,oɾíxen,,
aurum,awrum,5844,óɾo,,
aurum,aurum,,óɾo,,
ursum,ursum,,óso,,
octō,oktoː,,óʧo,,
folia,folia,343,óxa,,
oculum,okulum,1874,óxo,,
falcem,falkem,258,óθ,,
patrem,patrem,21234,pádɾe,,
pānem,paːnem,6200,pán,,
parietem,parietem,913,paɾéd,*,
partem,partem,15348,páɾte,,
partum,partum,1175,páɾto,,
passum,passum,857,paso,,
pastōrem,pastoːrem,953,pastóɾ,,
pācem,paːkem,8892,páθ,,
perīculum,periːkulum,3955,pelígɾo,,
poenam,pojnam,6207,péna,,
paenitentiam,pajnitentiam,3905,peniténθja,,
pignus,piɡnus,1350,péɲo,,
persōnam,persoːnam,5645,peɾsóna,,
pectus,pektus,2300,péʧo,,
piscem,piskem,415,péθ,,
pīnum,piːnum,59,píno,,
pedem,pedem,1561,pjé,,
pietātem,pietaːtem,1774,pjedád,,
petram,petram,1720,pjédɾa,,
pellem,pellem,484,pjél,,
pettia,pettia,,pjéθa,,
pēduculum,peːdukulum,,pjóxo,,
podium,podium,,pójo,,
puteum,puteum,,póθo,,
prātum,praːtum,128,pɾádo,,
praemium,prajmium,3413,pɾémjo,,
pretium,pretium,3674,pɾéθjo,,
principium,prinkipium,14903,pɾinθípjo,,
pugnus,pugnus,,púɲo,,
populum,populum,11984,pwéblo,,
pontem,pontem,464,pwénte,,
porrum,porrum,,pwéro,,
portam,portam,1982,pwéɾta,,
portum,portum,1148,pwéɾto,,
rēgīnam,reːɡiːnam,491,réjna,,
rādīcem,raːdiːkem,1210,ɾaíθ,,
radium,radium,306,ɾájo,,
ratiōnem,ratioːnem,21155,ɾaθón,,
rēgulam,reːɡulam,4190,ɾégla,,
rēgem,reːɡem,10423,ɾéj,,
regnum,reɡnum,18565,ɾéjno,*,
respōnsum,respoːnsum,2212,ɾespónso,,
rīpam,riːpam,462,ɾíba,,
rōstrum,roːstrum,92,ɾóstɾo,,
russum,russum,,ɾóxo,,
rotam,rotam,292,ɾwéda,,
saltum,saltum,322,sálto,,
salūtem,saluːtem,12048,salúd,,
sanguinem,sanɡwinem,8462,sángɾe,,
sānitātem,saːnitaːtem,2030,sanidád,,
saxum,saksum,445,sáxo,*,
sitim,sitim,834,séd,,
sēcūritātem,seːkuːritaːtem,885,seguɾidád,,
sex,seks,,séjs,,
siccum,sikkum,,séko,,
siluam,silwam,555,sélba,,
senātum,senaːtum,1559,senádo,,
sinum,sinum,1186,séno,,
sententiam,sententiam,8895,senténθja,,
signum,siɡnum,10825,séɲo,,
sermōnem,sermoːnem,5109,seɾmón,,
saeculum,sajkulum,3304,síglo,,
seruum,serwum,4324,sjérbo,,
septem,septem,,sjéte,,
superbiam,superbiam,3420,sobéɾbja,,
sōlem,soːlem,3656,sól,,
societātem,sokietaːtem,1852,soθjedád,,
socium,sokium,836,sóθjo,,
sūdōrem,suːdoːrem,227,sudóɾ,,
summam,summam,3022,súma,,
sūcidum,suːkidum,,súθjo,,
solum,solum,44457,swélo,,
somnum,somnum,1076,swéɲo,,
sortem,sortem,1381,swéɾte,,
tabulam,tabulam,288,tábla,,
timōrem,timoːrem,3578,temóɾ,,
testāmentum,testaːmentum,4551,testaménto,,
tēgulam,teːgulam,,téxa,,
