Analysis for Gold

ACCURACY REPORT:
Overall accuracy:                        0.69352205
Accuracy within 1 phone:                 0.85737616
Accuracy within 2 phones:                0.93032118
Average edit distance from gold:         0.10062215
Average feature edit distance from gold: 0.15203509

Performance associated with each phone in Gold
Phone in Gold	Associated final miss likelihood	Mean Associated Normalized Lev.Dist.	Mean Associated Feat Edit Dist
b	|	0.29526462395543174	|	0.5609065155807366	|	0.15607975593811296
l	|	0.3161094224924012	|	0.600609756097561	|	0.15953330206378993
ˈe	|	0.268630849220104	|	0.43847487001733104	|	0.13238234902013066
d̪	|	0.34285714285714286	|	0.5882352941176471	|	0.16433566433566443
o	|	0.28846153846153844	|	0.47560975609756095	|	0.1290081869350162
ˈɑ	|	0.3270735524256651	|	0.5727699530516432	|	0.16269411339833872
n̪	|	0.2916666666666667	|	0.5507900677200903	|	0.15419343636047933
ɑ	|	0.3044906900328587	|	0.5551282051282052	|	0.1553007889546351
θ	|	0.3229166666666667	|	0.5373665480427047	|	0.15295647413085134
ɾ	|	0.3391393442622951	|	0.6103286384976526	|	0.16646352473817272
ɡ	|	0.40476190476190477	|	0.8009708737864077	|	0.21237864077669907
w	|	0.3390804597701149	|	0.5747126436781609	|	0.17418213969938112
j	|	0.37254901960784315	|	0.7908496732026143	|	0.227124183006536
ˈo	|	0.27165354330708663	|	0.5354330708661418	|	0.13968806783767412
k	|	0.31625835189309576	|	0.5968109339407744	|	0.16983528999474337
ʝ	|	0.2694610778443114	|	0.49101796407185627	|	0.12079686780285585
s	|	0.34271099744245526	|	0.618421052631579	|	0.1840587044534414
t̪	|	0.2636363636363636	|	0.5139318885448917	|	0.14848773517504177
ɲ	|	0.32558139534883723	|	0.6046511627906976	|	0.1603309481216458
x	|	0.4228187919463087	|	0.7181208053691275	|	0.1760454310789882
e	|	0.41598360655737704	|	0.7880085653104925	|	0.2294514906934608
r	|	0.4065934065934066	|	0.7555555555555555	|	0.1769230769230769
ˈi	|	0.36637931034482757	|	0.6508620689655172	|	0.15119363395225474
u	|	0.65625	|	1.140625	|	0.21724759615384615
m	|	0.2981132075471698	|	0.5846153846153846	|	0.16457100591715978
ˈu	|	0.2644628099173554	|	0.6942148760330579	|	0.19405594405594406
i	|	0.5858585858585859	|	1.0101010101010102	|	0.28069153069153074
t͡ʃ	|	0.38461538461538464	|	0.717948717948718	|	0.17554240631163706
p	|	0.28888888888888886	|	0.5027932960893855	|	0.12806188225182638
f	|	0.49056603773584906	|	1.1320754716981132	|	0.3414368650217707
n	|	0.7777777777777778	|	2.3333333333333335	|	0.5235042735042735
ˈa	|	1.0	|	3.0	|	0.7500000000000001
d	|	1.0	|	2.142857142857143	|	0.5412087912087912
t	|	1.0	|	2.0	|	0.23076923076923078
